--- Log started at 2025-05-15 11:21:50 ---
Model: model5 (self trained 3).pt, Video Source: input videos/front.mp4, Confidence Threshold: 0.25
Frame,Timestamp,Class,Confidence,X1,Y1,X2,Y2
555,18.467,snelheidsbord,0.5685,714,20,748,78
570,18.967,stop,0.5690,756,0,800,63
585,19.467,snelheidsbord,0.4721,810,6,848,50
615,20.467,auto,0.3114,490,161,511,175
780,25.967,auto,0.3232,52,159,79,182
825,27.467,linksaf,0.4225,39,107,68,133
840,27.967,linksaf,0.7120,72,101,102,129
855,28.467,linksaf,0.8048,124,99,155,128
855,28.467,auto,0.4927,0,153,21,193
855,28.467,auto,0.3884,0,151,22,214
870,28.967,linksaf,0.8227,212,95,245,126
870,28.967,snelheidsbord,0.2960,211,95,245,126
885,29.467,linksaf,0.7656,297,90,329,122
900,29.967,linksaf,0.8361,371,78,406,114
915,30.467,linksaf,0.9221,449,65,492,108
930,30.967,linksaf,0.7514,512,49,559,98
930,30.967,snelheidsbord,0.3779,512,48,560,98
945,31.467,linksaf,0.8352,601,25,654,84
960,31.967,snelheidsbord,0.7645,783,0,847,52
960,31.967,linksaf,0.4635,782,0,846,53
960,31.967,rood,0.4332,278,143,285,153
975,32.467,auto,0.4752,690,152,720,174
1005,33.467,rood,0.3097,741,129,749,142
1125,37.467,snelheidsbord,0.2545,572,150,583,162
1155,38.467,auto,0.4523,727,158,765,180
1155,38.467,rood,0.2826,513,129,523,145
1185,39.467,auto,0.4649,614,154,648,177
1185,39.467,rood,0.3466,399,126,410,142
1200,39.967,auto,0.6324,621,151,657,177
1200,39.967,rood,0.3295,402,123,413,139
1215,40.467,auto,0.5357,626,152,663,177
1230,40.967,auto,0.6012,608,152,645,178
1245,41.467,rood,0.5082,370,113,382,130
1245,41.467,auto,0.4936,609,151,645,177
1260,41.967,auto,0.5383,621,150,658,175
1260,41.967,rood,0.3302,374,109,387,128
1275,42.467,auto,0.5435,652,151,692,178
1275,42.467,rood,0.3957,395,108,410,129
1290,42.967,rood,0.4337,466,103,481,125
