epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.2752,1.39101,0.88567,1.03701,0.83667,0.91425,0.9027,0.56516,1.22401,0.70419,0.98641,0.0032971,0.0032971,0.0032971
2,32.63,1.38674,0.87597,1.02945,0.78089,0.87327,0.85089,0.50937,1.4086,0.83819,1.01876,0.00661731,0.00661731,0.00661731
3,48.0465,1.43477,0.91395,1.03489,0.75629,0.88506,0.85919,0.49591,1.47791,0.85231,1.0298,0.00992431,0.00992431,0.00992431
4,63.448,1.4811,0.9571,1.05462,0.80834,0.55459,0.70553,0.41964,1.48092,1.31717,1.03656,0.0099406,0.0099406,0.0099406
5,79.2237,1.47363,0.94602,1.04038,0.847,0.84219,0.86503,0.53574,1.38044,0.91251,1.01487,0.0099208,0.0099208,0.0099208
6,94.661,1.44151,0.92646,1.03056,0.7931,0.87378,0.88099,0.52215,1.39104,0.83333,1.02566,0.009901,0.009901,0.009901
7,110.12,1.44033,0.9318,1.02799,0.79809,0.88632,0.87322,0.55781,1.30432,0.77007,0.98934,0.0098812,0.0098812,0.0098812
8,125.505,1.40304,0.89516,1.00845,0.83031,0.89986,0.87161,0.47448,1.68998,0.83744,1.08407,0.0098614,0.0098614,0.0098614
9,140.902,1.39556,0.90773,1.02801,0.79601,0.89292,0.8928,0.57456,1.28179,0.77449,0.97898,0.0098416,0.0098416,0.0098416
10,156.328,1.39143,0.88688,1.01433,0.85559,0.88834,0.88707,0.58176,1.25981,0.74734,0.98025,0.0098218,0.0098218,0.0098218
11,171.726,1.38184,0.86551,1.01595,0.81528,0.91859,0.89216,0.55293,1.34621,0.75645,1.00025,0.009802,0.009802,0.009802
12,187.127,1.38094,0.87557,1.01189,0.83653,0.89994,0.89587,0.54955,1.36054,0.762,0.98733,0.0097822,0.0097822,0.0097822
